"","X","tipoA","tipoB","varA","varB","copula","par","tau","VaR_A","VaR_B","VaR_S","CVaR_S","VaR_X_95","VaR_Y_95","VaR_Cop_95","CVaR_Cop_95","CVaR_cond_95","VaR_X_99","VaR_Y_99","VaR_Cop_99","CVaR_Cop_99","CVaR_cond_99"
"1",1,"provincias","sectores","Alajuela","HÍDRICO","SC",0.786060990158937,0.28214062539747,3.58049615536318,2.58790965184511,5.71865818113411,7.56216452884206,3.56773466120691,2.59024671827533,5.89692769095842,7.86826535423329,2.8521777293365,5.65447828112593,3.59788214699864,9.02870981055058,11.1660362390683,3.93150423688594
"2",2,"provincias","sectores","Guanacaste","HÍDRICO","SC",1.11585656868831,0.358121930226736,1.82306915927993,2.60307745603208,4.20066357254039,5.4101995570241,1.81793229335357,2.57916218080921,4.24196398954139,5.39776105835781,2.82679383425003,2.66586134719337,3.59914370716268,6.08884914756556,7.28386101974085,3.8529455661881
"3",3,"provincias","sectores","Puntarenas","HÍDRICO","SC",1.18510519386789,0.372077253884584,2.46654235730799,2.57547808015402,4.78845191491391,6.34711568539095,2.47717340385364,2.5896445203386,4.88409709810915,6.39265623500093,2.85059664437728,3.95688760713274,3.58921167624381,7.32761657327237,8.93654240525677,3.82710985845665
"4",4,"provincias","sectores","San José","HÍDRICO","SC",0.693102014835572,0.257361960674887,22.8360138746044,2.5537133437924,24.9973369836355,26.0712498383784,22.8278590268803,2.57891362731384,25.2215336528685,26.3928960822765,2.87851176426999,23.635087546126,3.62208986902261,27.1065039709825,28.1621124115153,3.97743577356044
"5",5,"provincias","sectores","Cartago","HÍDRICO","SC",1.01077852151399,0.335719985475953,3.50635232762685,2.5670963986271,5.72959123997723,7.40821017838373,3.54147113245307,2.59536272330837,5.90367726139805,7.58375753800696,2.85956104385603,5.17927672010053,3.58911929901669,8.56541770291152,10.2480645784252,3.82564628056782
"6",6,"provincias","sectores","Heredia","HÍDRICO","F",0.959110997521423,0.105400483213664,2.3726818040351,2.57744146263442,4.22797148901389,4.98173487637281,2.37542096942908,2.58532150103696,4.77725561263454,5.94465910341397,2.84718091105724,3.20479276395101,3.58614583047868,6.64331286457988,7.71402651284435,3.81530898275526
"7",7,"provincias","sectores","Limón","HÍDRICO","C270",-0.354121333131667,-0.150426117867333,23.944505927005,2.57018332408152,25.1739465186498,25.7255319790497,23.9354440151233,2.57410295092079,26.3350694520443,27.2529860874521,2.82962482918858,24.3587094267001,3.62771482290702,27.8123601522444,28.620909040582,3.84025597782262
"8",8,"provincias","sectores","Alajuela","INFRAESTRUCTURA","SC",1.38429433924173,0.409034853496782,3.5986263123299,2.27037551693571,5.63372708851769,7.73125611467602,3.56074422600219,2.25866854169207,5.57598424463975,7.64884717135373,2.61200314682887,5.76277408352439,3.45394693677355,8.94676828900891,11.0591210475858,3.7579286714497
"9",9,"provincias","sectores","Guanacaste","INFRAESTRUCTURA","SC",1.89153331048114,0.486063759337903,1.83499408704348,2.26002450714572,3.98445332412219,5.27509914328635,1.81508200462914,2.24705636172483,3.9046436837916,5.15160831979378,2.58059143465919,2.69099659992804,3.3927475248126,5.9295939056503,7.1756032668732,3.72003409736311
"10",10,"provincias","sectores","Puntarenas","INFRAESTRUCTURA","SC",2.23708309540139,0.52797715905769,2.44372808236524,2.20286026091288,4.55136245709177,6.17603495829339,2.47695664382098,2.23479030100916,4.50536229305455,6.12582245147677,2.56890484929425,3.88137633568479,3.40920829835489,7.05995047457955,8.82617797663431,3.73736918039549
"11",11,"provincias","sectores","San José","INFRAESTRUCTURA","SC",1.68386094440898,0.457091342430986,22.8265538609727,2.23895005161585,24.9306579836788,26.1368875784844,22.828751638058,2.24985037118538,24.8723672115423,26.0943692561706,2.58326263160181,23.6181703669035,3.41499042041016,26.8473380953568,27.9274345459808,3.70012767666626
"12",12,"provincias","sectores","Cartago","INFRAESTRUCTURA","SC",0.933648690539777,0.318255111305775,3.53065054926876,2.23670790723969,5.40937763082271,7.11586784036535,3.56404508637491,2.25242997907762,5.5984439688955,7.3583592148954,2.60923467530134,5.24469453468697,3.40665963582465,8.47525481164896,10.1868615184164,3.74098801958949
"13",13,"provincias","sectores","Heredia","INFRAESTRUCTURA","C",0.926629563084039,0.31662003786621,2.397511284639,2.25744535908465,4.04907840743345,4.85153280580309,2.36878836486262,2.22690023947018,4.41339812970006,5.69700968736096,2.58426855537189,3.21302141482979,3.41591693249375,6.45905054006188,7.77552853752693,3.80252205532488
"14",14,"provincias","sectores","Limón","INFRAESTRUCTURA","C270",-0.427231347386794,-0.176015915354241,23.9497655810165,2.25924669838887,24.848326054847,25.3873623424842,23.9410695450547,2.22172447229471,25.9731969714448,26.9831924112131,2.55344004665105,24.3572067361621,3.37675348536382,27.6129362320818,28.5427072965742,3.72041702261012
"15",15,"provincias","sectores","Alajuela","OTROS","SC",1.26240315823986,0.386954982878619,3.56130889034882,3.32223157569148,6.58838507458609,8.83554275169731,3.55295297672173,3.31865004923363,6.59629954045116,8.92761129425705,3.79433590157642,5.57181801824913,4.99719128144297,10.223989885144,13.0595299624466,5.63918260283849
"16",16,"provincias","sectores","Guanacaste","OTROS","SC",0.948603224264863,0.321712740615132,1.79155379351144,3.28988667783205,4.78586070270285,6.38874450219651,1.8158400080971,3.32052528376806,4.93977623602559,6.59078232488986,3.8392017120527,2.75522202591221,5.03681807640707,7.61866753364129,9.31475676781304,5.54580373828608
"17",17,"provincias","sectores","Puntarenas","OTROS","SC",1.25622592041236,0.385792003109316,2.47666920255908,3.32087438158813,5.50528556167031,7.53802112370069,2.49660933284649,3.32334367137843,5.57866539424546,7.53677225224954,3.81172992198424,3.90322779825262,5.02367694831896,8.63835464971863,10.8911469877891,5.4966525024311
"18",18,"provincias","sectores","San José","OTROS","SC",0.765352470874318,0.276764889443673,22.834579376316,3.33749646958086,25.7567522651917,27.3158777601321,22.8237759927272,3.32931773142171,25.9556611963185,27.4856685446441,3.82097503332204,23.6065525583118,4.98529735431189,28.4010808120895,29.8885003793604,5.49862781990642
"19",19,"provincias","sectores","Cartago","OTROS","SC",0.93269506418683,0.318033427878887,3.56263061512547,3.335325328288,6.46539601633067,8.49761163728418,3.50128585414654,3.28604799589037,6.52004974247283,8.60322649897944,3.79856121788284,5.13463694128871,5.02709807566099,9.93016033000802,12.0265428976059,5.48014064314675
"20",20,"provincias","sectores","Heredia","OTROS","SG",1.2379495364787,0.192212630213943,2.39020194061795,3.2995812717091,4.90441683293014,6.06589622082908,2.37489782519725,3.32036072830948,5.5010692450306,7.15339474513901,3.87623967961255,3.25601951989334,5.08868413959738,8.15230467290771,9.90486714308646,5.66849930677298
"21",21,"provincias","sectores","Limón","OTROS","SC",0.416927517086593,0.172503111549313,23.9467147475845,3.33230627745965,26.5191452096108,27.9260687159222,23.9565540320687,3.32665332370365,27.080632831287,28.4403479855669,3.83882021939478,24.3648629915879,5.03119383689148,29.2583754898196,30.6123087083859,5.60020153565678
"22",22,"provincias","sectores","Alajuela","PRODUCTIVO","SC",0.712896990283667,0.262780707427128,3.59473619158858,4.05284889280336,6.97230947547748,9.89439977626943,3.55854090623058,4.03048263109487,7.20668770315893,10.3687986633065,5.01463539210143,5.70884355029617,6.90621032495025,12.1009554631275,15.7673749645054,8.0037938836716
