"","X","tipoA","tipoB","varA","varB","copula","par","tau","VaR_A","VaR_B","VaR_S","CVaR_S","VaR_X_95","VaR_Y_95","VaR_Cop_95","CVaR_Cop_95","CVaR_cond_95","VaR_X_99","VaR_Y_99","VaR_Cop_99","CVaR_Cop_99","CVaR_cond_99"
"1",1,"sectores","categorias","HÍDRICO","Hidrometereológico","SC",1.54805048743977,0.436310163262875,2.58113463130493,2.2450933591537,4.65107208958128,6.05832589815646,2.59458110494955,2.26494269987303,4.65695069561114,6.07526812097137,2.63269980155275,3.61325109076607,3.53974864803919,6.94438349085572,8.33927515119102,3.84103615014631
"2",2,"sectores","categorias","INFRAESTRUCTURA","Hidrometereológico","SC",3.58151911270844,0.641674612302905,2.24423545750595,2.24495978712403,4.45522451198632,5.99011701897125,2.27119037010785,2.27058722945999,4.38016298700345,5.89098420108524,2.660007284163,3.48086548001251,3.52983038657317,6.77724816702521,8.4602552425111,3.95260927347222
"3",3,"sectores","categorias","OTROS","Hidrometereológico","SC",2.43736606311193,0.549282170649361,3.31471930708737,2.25517241978675,5.48726087663042,7.40935011489202,3.36512005749975,2.27023332383919,5.41173245741818,7.23825006671625,2.6494195563381,5.07963824812427,3.50570905662941,8.37886072766607,10.1657844637477,3.85658092895598
"4",4,"sectores","categorias","PRODUCTIVO","Hidrometereológico","SC",1.54684167849542,0.436118050567059,3.9780789263028,2.24912818158459,6.01800916446165,8.51681300539037,4.05711134202537,2.26245584896538,6.08349007592933,8.68407579268968,2.64637099453258,6.86253577582064,3.53659624802357,10.1081581288132,13.4212488860724,4.02953842600732
"5",5,"sectores","categorias","SOCIAL","Hidrometereológico","SC",1.66590141884956,0.454431592263699,22.4848511953106,2.25158363159644,24.5951473132311,25.8323252126677,22.502771943097,2.27028569805427,24.6100786371984,25.8277175343879,2.68060188340079,23.1786855803991,3.57503552640819,26.5880848760561,27.6913935015708,3.93346056639892
"6",6,"sectores","categorias","HÍDRICO","Geológico","C",0.543831896595705,0.213784526140855,2.57951886467575,3.8200031209552,5.4748191239736,6.72972559608163,2.61008337018615,3.91510429317051,6.28600426719672,8.24505816662666,4.57602918440325,3.63485884037448,5.97172529256634,9.38411862616191,11.40558712654,6.68656737797108
"7",7,"sectores","categorias","INFRAESTRUCTURA","Geológico","C",0.416875509016288,0.172485304874459,2.26316999817282,3.87582478092311,5.18942525443603,6.5080634600168,2.24281855288538,3.8746935882812,5.88798507293748,7.86421007121981,4.46227236083619,3.38845574134961,5.90616812456737,9.04736756368284,11.2117796400418,6.56739505468847
"8",8,"sectores","categorias","OTROS","Geológico","C",0.382626395978817,0.160590177555566,3.30806863922905,3.88708625632782,6.01843413628305,7.44778122318886,3.33763999650763,3.88036410487553,6.92030482076571,9.2696158588868,4.50551738507053,5.08736532815198,5.90069166276604,10.7345803658004,13.2376372030276,6.64096664034888
"9",9,"sectores","categorias","PRODUCTIVO","Geológico","C270",-1.14862214061286,-0.364801519304978,4.03169913374602,3.81769527030484,5.51487020252922,7.22672095013245,4.04540485320665,3.8629288452968,7.57991651884769,10.6621683888655,4.49944379683293,7.00137575040974,5.97643953286881,12.6425662303737,16.0433753018101,6.7425104705819
"10",10,"sectores","categorias","SOCIAL","Geológico","N",0.421406143545337,0.276926612006671,22.4906691807955,3.85203919569814,25.6518393045835,27.124730925977,22.4967837409475,3.90028144804196,26.1718766405304,27.8772091133945,4.51001186871301,23.1608035056499,5.91000883322647,28.8436476465486,30.5960184918325,6.60700485290985
