"","tipoA","tipoB","varA","varB","copula","par","tau","VaR_A","VaR_B","VaR_S","CVaR_S"
"1","provincias","sectores","Alajuela","HÍDRICO","SC",0.786060990158937,0.28214062539747,3.58049615536318,2.58790965184511,5.71865818113411,7.56216452884206
"2","provincias","sectores","Guanacaste","HÍDRICO","SC",1.11585656868831,0.358121930226736,1.82306915927993,2.60307745603208,4.20066357254039,5.4101995570241
"3","provincias","sectores","Puntarenas","HÍDRICO","SC",1.18510519386789,0.372077253884584,2.46654235730799,2.57547808015402,4.78845191491391,6.34711568539095
"4","provincias","sectores","San José","HÍDRICO","SC",0.693102014835572,0.257361960674887,22.8360138746044,2.5537133437924,24.9973369836355,26.0712498383784
"5","provincias","sectores","Cartago","HÍDRICO","SC",1.01077852151399,0.335719985475953,3.50635232762685,2.5670963986271,5.72959123997723,7.40821017838373
"6","provincias","sectores","Heredia","HÍDRICO","F",0.959110997521423,0.105400483213664,2.3726818040351,2.57744146263442,4.22797148901389,4.98173487637281
"7","provincias","sectores","Limón","HÍDRICO","C270",-0.354121333131667,-0.150426117867333,23.944505927005,2.57018332408152,25.1739465186498,25.7255319790497
"8","provincias","sectores","Alajuela","INFRAESTRUCTURA","SC",1.38429433924173,0.409034853496782,3.5986263123299,2.27037551693571,5.63372708851769,7.73125611467602
"9","provincias","sectores","Guanacaste","INFRAESTRUCTURA","SC",1.89153331048114,0.486063759337903,1.83499408704348,2.26002450714572,3.98445332412219,5.27509914328635
"10","provincias","sectores","Puntarenas","INFRAESTRUCTURA","SC",2.23708309540139,0.52797715905769,2.44372808236524,2.20286026091288,4.55136245709177,6.17603495829339
"11","provincias","sectores","San José","INFRAESTRUCTURA","SC",1.68386094440898,0.457091342430986,22.8265538609727,2.23895005161585,24.9306579836788,26.1368875784844
"12","provincias","sectores","Cartago","INFRAESTRUCTURA","SC",0.933648690539777,0.318255111305775,3.53065054926876,2.23670790723969,5.40937763082271,7.11586784036535
"13","provincias","sectores","Heredia","INFRAESTRUCTURA","C",0.926629563084039,0.31662003786621,2.397511284639,2.25744535908465,4.04907840743345,4.85153280580309
"14","provincias","sectores","Limón","INFRAESTRUCTURA","C270",-0.427231347386794,-0.176015915354241,23.9497655810165,2.25924669838887,24.848326054847,25.3873623424842
"15","provincias","sectores","Alajuela","OTROS","SC",1.26240315823986,0.386954982878619,3.56130889034882,3.32223157569148,6.58838507458609,8.83554275169731
"16","provincias","sectores","Guanacaste","OTROS","SC",0.948603224264863,0.321712740615132,1.79155379351144,3.28988667783205,4.78586070270285,6.38874450219651
"17","provincias","sectores","Puntarenas","OTROS","SC",1.25622592041236,0.385792003109316,2.47666920255908,3.32087438158813,5.50528556167031,7.53802112370069
"18","provincias","sectores","San José","OTROS","SC",0.765352470874318,0.276764889443673,22.834579376316,3.33749646958086,25.7567522651917,27.3158777601321
"19","provincias","sectores","Cartago","OTROS","SC",0.93269506418683,0.318033427878887,3.56263061512547,3.335325328288,6.46539601633067,8.49761163728418
"20","provincias","sectores","Heredia","OTROS","SG",1.2379495364787,0.192212630213943,2.39020194061795,3.2995812717091,4.90441683293014,6.06589622082908
"21","provincias","sectores","Limón","OTROS","SC",0.416927517086593,0.172503111549313,23.9467147475845,3.33230627745965,26.5191452096108,27.9260687159222
"22","provincias","sectores","Alajuela","PRODUCTIVO","SC",0.712896990283667,0.262780707427128,3.59473619158858,4.05284889280336,6.97230947547748,9.89439977626943
"23","provincias","sectores","Guanacaste","PRODUCTIVO","SC",1.3756723018658,0.407525428669554,1.82706137073464,4.05100933945118,5.70862407994927,8.04789686735947
"24","provincias","sectores","Puntarenas","PRODUCTIVO","SC",1.09965435894479,0.354766768033821,2.45779731886826,3.98598825874481,6.08036464317876,8.78607974253165
"25","provincias","sectores","San José","PRODUCTIVO","SC",0.835710580546468,0.294709405917376,22.8315540763199,4.05866265108311,26.400746257975,28.6915272888495
"26","provincias","sectores","Cartago","PRODUCTIVO","SC",0.676595488079347,0.252782122323928,3.53223722242436,4.03309237952971,6.88838059541467,9.59003006339866
"27","provincias","sectores","Heredia","PRODUCTIVO","C90",-0.344258904992775,-0.146851913096961,2.38713321769312,4.03794305263723,5.05648781930547,6.81492940703123
"28","provincias","sectores","Limón","PRODUCTIVO","C270",-0.487000452338208,-0.195818401191019,23.9478958436019,3.9950803959342,26.1270062729377,27.6203882445163
"29","provincias","sectores","Alajuela","SOCIAL","SC",0.612550034185773,0.234464422181557,3.54973002680051,22.4792735633139,25.4439874565226,27.1487926597581
"30","provincias","sectores","Guanacaste","SOCIAL","SC",1.06229774942855,0.34689564384351,1.82521550306522,22.4915314905901,24.1045957244195,25.0598212484886
"31","provincias","sectores","Puntarenas","SOCIAL","SC",1.16270758435242,0.367630441114741,2.4731009567331,22.4868287155593,24.7039673891082,26.0480733675076
"32","provincias","sectores","San José","SOCIAL","SC",1.0273019532651,0.339345717448865,22.8188589228005,22.4706134333145,45.0179649747029,45.9447910395222
"33","provincias","sectores","Cartago","SOCIAL","SC",1.07118575094025,0.348785725712718,3.56904337599916,22.502036843165,25.792087580378,27.254921574065
"34","provincias","sectores","Heredia","SOCIAL","SC",0.482975821297301,0.194514911162106,2.38340361436153,22.4890374082602,24.3628681247387,25.269041487366
"35","provincias","sectores","Limón","SOCIAL","C270",-0.374999393327545,-0.157894521733812,23.9430397656952,22.4802360494034,45.0590461193565,45.5591138603856
