x,f,model_name,model_type,kernel,bandwidth,u_opt,p_u,location
14.030307371981616,0.01169217687074829,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.04252204425458,0.01169217687074829,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.054736716527545,0.012755102040816322,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.066951388800508,0.01328656462585033,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.079166061073472,0.01328656462585033,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.091380733346437,0.013818027210884347,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.103595405619402,0.013818027210884347,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.115810077892366,0.014349489795918354,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.12802475016533,0.015412414965986387,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.140239422438295,0.0159438775510204,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.152454094711258,0.0159438775510204,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.164668766984223,0.0159438775510204,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.176883439257187,0.017006802721088426,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.189098111530152,0.017006802721088426,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.201312783803116,0.017006802721088426,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.213527456076081,0.01753826530612244,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.225742128349044,0.018069727891156462,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.237956800622008,0.018069727891156462,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.250171472894973,0.018069727891156462,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.262386145167937,0.018069727891156462,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.274600817440902,0.019664115646258497,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.286815489713867,0.020727040816326526,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.29903016198683,0.020727040816326526,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.311244834259794,0.020727040816326526,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.323459506532759,0.020727040816326526,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.335674178805723,0.020727040816326526,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.347888851078688,0.020727040816326526,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.360103523351652,0.02232142857142856,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.372318195624615,0.023384353741496583,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.38453286789758,0.023384353741496583,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.396747540170544,0.023915816326530597,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.408962212443509,0.024447278911564604,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.421176884716473,0.024447278911564604,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.433391556989438,0.024447278911564604,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.4456062292624,0.024447278911564604,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.457820901535365,0.024978741496598622,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.47003557380833,0.024978741496598622,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.482250246081295,0.026041666666666647,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.494464918354259,0.026041666666666647,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.506679590627224,0.02657312925170066,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.518894262900186,0.02869897959183672,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.531108935173151,0.029230442176870725,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.543323607446116,0.029230442176870725,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.55553827971908,0.029761904761904743,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.567752951992045,0.029761904761904743,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.57996762426501,0.03135629251700675,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.592182296537972,0.03135629251700675,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.604396968810937,0.03135629251700675,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.616611641083901,0.031887755102040775,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.628826313356866,0.0324192176870748,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.64104098562983,0.0324192176870748,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.653255657902795,0.03348214285714282,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.665470330175758,0.03348214285714282,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.677685002448722,0.03295068027210881,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.689899674721687,0.03295068027210881,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.702114346994652,0.03348214285714282,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.714329019267616,0.03507653061224485,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.72654369154058,0.034545068027210836,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.738758363813544,0.034545068027210836,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.750973036086508,0.03348214285714282,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.763187708359473,0.03507653061224485,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.775402380632437,0.03507653061224485,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.787617052905402,0.03507653061224485,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.799831725178366,0.03985969387755093,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.81204639745133,0.040391156462584954,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.824261069724294,0.04092261904761898,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.836475741997258,0.04145408163265298,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.848690414270223,0.04145408163265298,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.860905086543188,0.04092261904761898,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.873119758816152,0.04464285714285709,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.885334431089115,0.044111394557823064,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.89754910336208,0.04464285714285709,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.909763775635044,0.046237244897959134,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.921978447908009,0.046768707482993166,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.934193120180973,0.046237244897959134,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.946407792453938,0.0473001700680272,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.9586224647269,0.05314625850340128,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.970837136999865,0.05314625850340128,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.98305180927283,0.053677721088435285,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
14.995266481545794,0.05314625850340128,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
15.007481153818759,0.053677721088435285,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
15.019695826091723,0.05314625850340128,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
15.031910498364686,0.05314625850340128,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
15.04412517063765,0.053677721088435285,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
15.056339842910615,0.0547406462585033,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
15.06855451518358,0.0547406462585033,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
15.080769187456545,0.057929421768707356,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
15.092983859729507,0.06218112244897943,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
15.105198532002472,0.06324404761904746,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
15.117413204275437,0.06324404761904746,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
15.129627876548401,0.06377551020408144,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
15.141842548821366,0.06377551020408144,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
15.15405722109433,0.06430697278911543,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
15.166271893367295,0.06536989795918347,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
15.178486565640258,0.06536989795918347,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
15.190701237913222,0.06536989795918347,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
15.202915910186187,0.06749574829931948,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
15.215130582459151,0.06696428571428546,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
15.227345254732116,0.06696428571428546,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
15.23955992700508,0.06590136054421745,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
15.251774599278043,0.06536989795918347,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
15.263989271551008,0.06536989795918347,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
15.276203943823973,0.06696428571428546,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
15.288418616096937,0.06802721088435347,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
15.300633288369902,0.06696428571428546,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
15.312847960642866,0.06696428571428546,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
15.325062632915829,0.06696428571428546,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
15.337277305188794,0.0690901360544215,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
15.349491977461758,0.07068452380952354,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
15.361706649734723,0.07068452380952354,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
15.373921322007687,0.07174744897959158,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
15.386135994280652,0.07174744897959158,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
15.398350666553615,0.07227891156462561,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
15.41056533882658,0.07174744897959158,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
15.422780011099544,0.07227891156462561,KDE-tophat,body,tophat,0.56,20.133396419609447,0.25,Cartago_Hidrometereológico
