GPD_param1,GPD_param2,iteration,model_name,model_type,u_opt,p_u,location
0.1,1.000493058222654,0,GPD,tail,20.547986479537943,0.1875,Guanacaste_Hidrometereológico
0.1,1.000493058222654,1,GPD,tail,20.547986479537943,0.1875,Guanacaste_Hidrometereológico
0.1,1.000493058222654,2,GPD,tail,20.547986479537943,0.1875,Guanacaste_Hidrometereológico
0.1,1.000493058222654,3,GPD,tail,20.547986479537943,0.1875,Guanacaste_Hidrometereológico
0.1,1.000493058222654,4,GPD,tail,20.547986479537943,0.1875,Guanacaste_Hidrometereológico
0.1,1.000493058222654,5,GPD,tail,20.547986479537943,0.1875,Guanacaste_Hidrometereológico
0.1,1.000493058222654,6,GPD,tail,20.547986479537943,0.1875,Guanacaste_Hidrometereológico
0.1,1.000493058222654,7,GPD,tail,20.547986479537943,0.1875,Guanacaste_Hidrometereológico
0.1,1.000493058222654,8,GPD,tail,20.547986479537943,0.1875,Guanacaste_Hidrometereológico
0.1,1.000493058222654,9,GPD,tail,20.547986479537943,0.1875,Guanacaste_Hidrometereológico
