x,f,model_name,model_type,kernel,bandwidth,u_opt,p_u,location
14.030307371981616,0.01093434726320577,KDE-tophat,body,tophat,0.664,21.521096982297998,0.07767857142857143,Limón_HÍDRICO_Hidrometereológico
14.045318234937106,0.01093434726320577,KDE-tophat,body,tophat,0.664,21.521096982297998,0.07767857142857143,Limón_HÍDRICO_Hidrometereológico
14.060329097892595,0.01093434726320577,KDE-tophat,body,tophat,0.664,21.521096982297998,0.07767857142857143,Limón_HÍDRICO_Hidrometereológico
14.075339960848085,0.011663303747419487,KDE-tophat,body,tophat,0.664,21.521096982297998,0.07767857142857143,Limón_HÍDRICO_Hidrometereológico
14.090350823803576,0.011663303747419487,KDE-tophat,body,tophat,0.664,21.521096982297998,0.07767857142857143,Limón_HÍDRICO_Hidrometereológico
14.105361686759064,0.012027781989526346,KDE-tophat,body,tophat,0.664,21.521096982297998,0.07767857142857143,Limón_HÍDRICO_Hidrometereológico
14.120372549714554,0.012027781989526346,KDE-tophat,body,tophat,0.664,21.521096982297998,0.07767857142857143,Limón_HÍDRICO_Hidrometereológico
14.135383412670045,0.012392260231633201,KDE-tophat,body,tophat,0.664,21.521096982297998,0.07767857142857143,Limón_HÍDRICO_Hidrometereológico
14.150394275625533,0.012392260231633201,KDE-tophat,body,tophat,0.664,21.521096982297998,0.07767857142857143,Limón_HÍDRICO_Hidrometereológico
14.165405138581024,0.012756738473740061,KDE-tophat,body,tophat,0.664,21.521096982297998,0.07767857142857143,Limón_HÍDRICO_Hidrometereológico
14.180416001536514,0.013850173200060645,KDE-tophat,body,tophat,0.664,21.521096982297998,0.07767857142857143,Limón_HÍDRICO_Hidrometereológico
14.195426864492003,0.014214651442167504,KDE-tophat,body,tophat,0.664,21.521096982297998,0.07767857142857143,Limón_HÍDRICO_Hidrometereológico
14.210437727447493,0.014214651442167504,KDE-tophat,body,tophat,0.664,21.521096982297998,0.07767857142857143,Limón_HÍDRICO_Hidrometereológico
14.225448590402982,0.014214651442167504,KDE-tophat,body,tophat,0.664,21.521096982297998,0.07767857142857143,Limón_HÍDRICO_Hidrometereológico
